,id,author,full_text,hashtag(s),retweet_count,favorite_count,Avg Polarity
0,1320989483911753729,TarakMu98700947,RT @harbhajan_singh: Don't know what else @surya_14kumar needs to do get picked in the team india.. he has been performing every ipl and Ra…,[],2329,0,0.0
1,1320989479004299264,ER_Hariom_RJ,RT @harbhajan_singh: Don't know what else @surya_14kumar needs to do get picked in the team india.. he has been performing every ipl and Ra…,[],2329,0,0.0
2,1320989477087576064,Cricket_10_18,"RT @ViratGang: #DidYouKnow? 🤓

Virat Kohli is the only player to hit 2️⃣0️⃣0️⃣ Sixes &amp; 5️⃣0️⃣0️⃣ Fours together in IPL! 🔥

@imVkohli @RCBTw…",['DidYouKnow'],173,0,0.0
3,1320989475476889601,kavinlift20,RT @harbhajan_singh: Don't know what else @surya_14kumar needs to do get picked in the team india.. he has been performing every ipl and Ra…,[],2329,0,0.0
4,1320989468824801282,Yuvan_megul,"RT @Cric_beat: Most 6s in 20th over of IPL

49 - Dhoni (245b)
26 - Pollard (153b)
23 - Rohit (88b) 
21 - Hardik (91b)*
15 - Harbhajan (105b…",[],174,0,0.125
5,1320989447203123207,actorvijay_,"RT @SanthoshNanban: But but Rohit is the captain of best team in IPL 😂 
But only 2 players are qualified for indian T20 squad.

4 players f…",[],11,0,0.63915
6,1320989425753489410,m_govind_sharma,"RT @jigga_sarcaster: #IPL2020
    IPL                                     IPL
   Fans                                players https://t.co/p…",['IPL2020'],1,0,0.0
7,1320989416740036613,zeeshanumar9172,@Danny61000 @jonathanliew A very well written piece but i wonder do our players really need to play in ipl? And is it the most efficient way Ecb can Help Pak cricket? I know the answer to 2nd question NO it isn't. I will gladly watch shaheen bowling to banton and morgan in pindi than him bowing in ipl,[],0,0,0.5909
8,1320989408464490496,BishalHGautam,"@BeingShashank Virat will be captain for this tournament and he has done very well as Indian captain.
As far as Ipl is concern he has a good team and also a good captain but not everyone can be captain.",[],0,0,0.49095
9,1320989401241907201,RcChinna1,"RT @BrokenCricket: Varun Chakravarthy:

2015: Architect struggling in life

2018: First class Debut

2019: IPL Debut

2020: Selected for In…",[],524,0,-0.08574999999999999
10,1320989396804382720,Iam_KingKohli,"This Mumbai racist crying on KL.
Where were you when Rohit picked consistently even after failing in every test series?
Shame on you.
No wonder BCCI sacked you from IPL commentary 🤣😂🤣 https://t.co/zMfKtquRfG",[],0,0,-0.45765
11,1320989375354728449,ChaudhuriAbir,"RT @mohanstatsman: Most runs scored via 1s, 2s, 3s in #IPL2020
271 - Virat Kohli
267 - KL Rahul
203 - Shikhar Dhawan
188 - Shubnam Gill/Shr…",['IPL2020'],24,0,0.25
12,1320989370082447360,mdsaddamhhp_md,@AlexHartley93 @katecross16 @IPL @RCBTweets @OraonUjjwal So cute https://t.co/b6vZvTFk8h,[],0,0,0.50475
13,1320989367192596482,menthulapodi,RT @Being_Humor: RCB fan telling why RCB will win IPL this year. #IPL2020 https://t.co/pCJ27gY4br,['IPL2020'],274,0,0.801
14,1320989357369483266,tweetsbyparija,"1.Kolkata Knight Riders, 2.Kolkata knight riders and Kings XI Punjab, 3. 2016 (848 runs), 4.135 innings (also the least taken by any player (foreign and indian) to reach to 5000 IPL Runs). Undoubtedly the greatest batsman of IPL. @SunRisers @davidwarner #HappyBirthdayDavidWarner https://t.co/bPovnmAQTZ",['HappyBirthdayDavidWarner'],0,0,0.4201333333333333
15,1320989341112434689,mukeshkmeher,RT @harbhajan_singh: Don't know what else @surya_14kumar needs to do get picked in the team india.. he has been performing every ipl and Ra…,[],2331,0,0.0
16,1320989322779082753,GiriSubramania1,"RT @IPL: You deserve it all and more @mandeeps12 😊😊

#Dream11IPL https://t.co/c5GRlWgU5q",['Dream11IPL'],1617,0,0.25
17,1320989314835075072,ManojKu70220936,"RT @rit_111_: 🏏Sanju Samson, B McCullum, M Vijay all 3 has scored 2 hundreds &amp; 13 fifties in IPL &amp; they have played 105, 109 &amp; 106 mat. res…",[],11,0,0.17
18,1320989312029110273,SuhailOffl,"RT @sri50: #MSDhoni will continue to lead #CSK! 
#CSK CEO Kasi Viswanathan told TOI - “Yes definitely I'm very confident that Dhoni will le…","['MSDhoni', 'CSK', 'CSK']",435,0,0.74285
19,1320989303074242561,ChaudhuriAbir,"RT @mohanstatsman: Most runs scored via boundaries (4s/5s/6s) in #IPL2020 
328 - KL Rahul
268 - Shikhar Dhawan
246 - Mayank Agarwal
243 - Q…",['IPL2020'],9,0,0.25
