,id,author,full_text,hashtag(s),retweet_count,favorite_count,Avg Polarity
0,1321113469639221248,Dillu_sehwag44,"RT @Cric_beat: Most runs Conceded by Rabada in an IPL match

0/59 vs SRH (2017)
0/54 vs SRH (Today)
1/51 vs KKR (2020)

#SRHvDC",['SRHvDC'],2,0,0.25
1,1321113469530165248,Imlohithvk18,"Warner half century ✅
Saha half century ✅
Nd rabada half century ✅ with Ball
#IPL",['IPL'],0,0,-0.08333333333333333
2,1321113468968136704,TV9Marathi,"IPL 2020, SRH vs DC Live : ऋद्धीमान साहा-डेव्हिड वॉर्नरचा दणका, दिल्लीला विजयासाठी 220 धावांचे आव्हान  https://t.co/ueRIpc12mb #IPL2020 #SRH #DelhiCapitals #SRHvsDC #DCvsSRH","['IPL2020', 'SRH', 'DelhiCapitals', 'SRHvsDC', 'DCvsSRH']",0,0,0.06818181818181818
3,1321113468955627520,BenAndrew07,Kagiso Rabada scored his first half century in IPL and goes wicketless for the first time in 26 matches 😁😋 #SRH #SRHvDC #IPl2020,"['SRH', 'SRHvDC', 'IPl2020']",0,0,0.05555555555555556
4,1321113467705700355,upendraligam,This Is The First Time Were Rabada Went Wicktless In 26 Games In #IPL His Figure In This Match 4-0-54-0 #SRHvDC,"['IPL', 'SRHvDC']",0,0,0.125
5,1321113466564833286,telkikar_anish,"RT @mohanstatsman: Kagiso Rabada...
on  2 May 2017 - DC v SRH (Delhi) - 4-0-59-0
Since then has taken at least one wicket in his next 25 ga…",[],16,0,-0.075
6,1321113466418192386,IndiaTVHindi,"IPL 2020, Live Cricket Score SRH vs DC :  साहा (87) और वॉर्नर (66) के दम पर SRH ने खड़ा किया 219/2 का विशाल स्कोर #IPL2020 #CricketDhamaka

https://t.co/pow8e7TPjA","['IPL2020', 'CricketDhamaka']",0,0,0.06818181818181818
7,1321113464513810432,AI_freak,@Tandoori_Reddy Obvious but e streak end avvadhu anukunna e IPL motham baaney break chesaru middle order kuda aadi,[],0,0,0.0
8,1321113464249577473,Stf_offi,RT @IdrishVijay: #RCB 263 Highest Ipl score !! SAFE 😍🙏🏻,['RCB'],2,0,0.5311
9,1321113463993831429,theviratian_,Rabada goes wicket less for the first time in his IPL Career.. So much #IPLT20 gives you.. #Dream11IPL #DCvsSRH,"['IPLT20', 'Dream11IPL', 'DCvsSRH']",0,0,0.04722222222222222
10,1321113461972033536,smaranp2210,"Rabada goes wicketless in an IPL game for the first time since 2018.

#DCvsSRH #DCvSRH #DC #IPL","['DCvsSRH', 'DCvSRH', 'DC', 'IPL']",0,0,-0.037500000000000006
11,1321113458872586241,kishi1312,"RT @rpsingh: When you are a NO.1 wk/batsman in one format for India, playing IPL since 2008, 122 game, avg around 25 and strike rate of 132…",[],13,0,-0.39425
12,1321113454971817984,Arjunaadhf_123,"RT @HimaDas8: Since the inception of IPL, watching @msdhoni bhaiya represent CSK team has been a treat to watch in each match. The team tha…",[],60,0,0.5491666666666667
13,1321113454321618945,Cricrajeshpk,"The last time Kagiso Rabada went wicketless in an IPL Match was way back in 2017 vs #SRH at Delhi - 0/59 in 4 Overs

Today vs #SRH - 54/0 in 4 Overs

#IPL2020 #Dream11IPL #SRHvDC","['SRH', 'SRH', 'IPL2020', 'Dream11IPL', 'SRHvDC']",0,1,0.0
14,1321113453365317632,CAManish2509,@drprashantmish6 @FinMedium @DARKHORSESTOCKS @blitzkreigm Quite surprised they are not spending on advertising during the current IPL. Looks like their focus is to conserve cash right now,[],0,0,0.34973571428571426
15,1321113450030923776,IndiaTVSports,"IPL 2020, Live Cricket Score SRH vs DC :  साहा (87) और वॉर्नर (66) के दम पर SRH ने खड़ा किया 219/2 का विशाल स्कोर #IPL2020 #CricketDhamaka

https://t.co/iZ6rfTClK9","['IPL2020', 'CricketDhamaka']",0,0,0.06818181818181818
16,1321113444402147329,Santosh46126390,RT @FarziCricketer: We are witnessing David Warner minus TikTok. #IPL,['IPL'],11,0,-0.05
17,1321113439155089410,Nandha2908,Bravo's Record of Most matches with Wicket in IPL(28 matches)  will be safe for minimum 2 years https://t.co/wg2JVrJJ3Y,[],0,0,0.4702
18,1321113438698020864,khanyanorman,"RT @CricCrazyJohns: On 2/05/2017 - 0/59(4) vs SRH.

Then at least one wicket in 25 consecutive IPL matches.

On 27/10/2020 - 0/54(4) vs SRH…",[],64,0,-0.15
19,1321113436995096576,UmairGul078,"W0w what a c0me back just 2 boundaries concerned in last 3 0vers😳🤔🙄.. They did finish well 
196/2 in 17 0v now 219/2 in 20
Just 23 runs in 3 0vers.. Well its a go0d total s0 far😍💪.. 
@DelhiCapitals Need 220 in 20 f0w qualify in the play0ffs💓
#Dream11IPL @IPL 
#SRHvsDC","['Dream11IPL', 'SRHvsDC']",0,0,0.25945
